id,user_name,image_url,latitude,longitude,scientific_name,common_name,taxon_id,taxon_family_name
194885,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/248790/medium.jpg,35.9039066302,-79.0732978426,Penstemon canescens,eastern gray beardtongue,118760,Plantaginaceae
194888,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/248794/medium.jpg,35.9877296803,-79.057123661,Matelea carolinensis,Carolina climbing-milkweed,129557,Apocynaceae
194889,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/248796/medium.jpg,35.9849516599,-79.0604871511,Lotus corniculatus,bird's-foot trefoil,47435,Fabaceae
194890,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/248798/medium.jpg,35.9848908896,-79.0604496002,Verbascum blattaria,moth mullein,59028,Scrophulariaceae
194892,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/248801/medium.jpg,35.9848822081,-79.0616834164,Campsis radicans,American trumpet vine,75995,Bignoniaceae
194893,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/248802/medium.jpg,35.985676559,-79.0583306551,Campsis radicans,American trumpet vine,75995,Bignoniaceae
194895,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/248804/medium.jpg,35.9856808997,-79.0588831902,Eupatorium capillifolium,dogfennel,131154,Asteraceae
194896,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/248807/medium.jpg,35.9858545272,-79.0574455261,Liquidambar styraciflua,American sweetgum,49658,Altingiaceae
194901,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/248819/medium.jpg,35.9921439272,-79.0528441966,Verbesina occidentalis,Yellow Crownbeard,136384,Asteraceae
194902,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/248818/medium.jpg,35.9921439272,-79.0528441966,Verbesina alternifolia,wingstem,117442,Asteraceae
194903,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/248820/medium.jpg,35.9854030948,-79.0571129322,Trichostema dichotomum,Blue Curls,127634,Lamiaceae
194904,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/248821/medium.jpg,35.9921743095,-79.0528589487,Trichostema dichotomum,Blue Curls,127634,Lamiaceae
194907,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/248824/medium.jpg,35.9919572924,-79.052939415,Vernonia noveboracensis,New York ironweed,142979,Asteraceae
194910,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/248827/medium.jpg,35.9919572924,-79.052939415,Vernonia noveboracensis,New York ironweed,142979,Asteraceae
194913,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/248834/medium.jpg,35.9921265658,-79.053003788,Phytolacca americana,American pokeweed,48599,Phytolaccaceae
194915,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/248836/medium.jpg,35.9921265658,-79.053003788,Phytolacca americana,American pokeweed,48599,Phytolaccaceae
194917,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/248838/medium.jpg,35.9925736194,-79.0537762642,Rudbeckia laciniata,cutleaf coneflower,116735,Asteraceae
194930,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/248869/medium.jpg,35.9921395868,-79.053003788,Prunella vulgaris,common selfheal,52764,Lamiaceae
194931,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/248870/medium.jpg,35.992066089,-79.0531097179,Lespedeza bicolor,shrub lespedeza,129677,Fabaceae
194933,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/248872/medium.jpg,35.9920875028,-79.0531539917,Ambrosia artemisiifolia,common ragweed,53587,Asteraceae
194934,Suzanne Cadwell,https://inaturalist-open-data.s3.amazonaws.com/photos/248873/medium.jpg,35.9921178852,-79.0530735254,Chamaecrista fasciculata,partridge pea,127907,Fabaceae
